id,username,created_at,lng,lat,text
1393308645413302273,BethB3,Fri May 14 20:54:02 +0000 2021,-94.5592815,39.1000485,I have missed media event planning! Was great to see some folks in person today for the first time in a long time.… https://t.co/XWysgT3PeI
1393308648160460801,JesusAldana2,Fri May 14 20:54:02 +0000 2021,-117.02246299999999,32.633767,"@linusesq @snboxing The way things are now, we couldn't have a show like that today."
1393308648848322560,XvNico206,Fri May 14 20:54:02 +0000 2021,-122.3306025,47.614817,@ChyWhiteEagle Lake Tapps!?
1393308648886185988,TampaEFL,Fri May 14 20:54:02 +0000 2021,-84.186097,34.174703,"Pj’s in India Native voice “oh fun, you’re going to watch a movie” I said .... no we’re making a movie silly. Lots of them"
1393308649188216841,rmfmagazine,Fri May 14 20:54:03 +0000 2021,-71.0323765,42.399371,Sometimes you have to sit back and wonder what AD’s are thinking about when they make these hires at any level. Did… https://t.co/mD59taqqRl
1393308649397829632,BLACKGYPSYMERM1,Fri May 14 20:54:03 +0000 2021,-89.92202900000001,35.1335205,😍😍😍😍😍😍😍😍😍😍😍😍😍
1393308650068869120,ThatGuyDiamond,Fri May 14 20:54:03 +0000 2021,-122.2180755,47.3923115,@Quiss206 @AyoCHELSSSSS @herecuzigisdown What was his best?
1393308650224201742,ShirvanJ,Fri May 14 20:54:03 +0000 2021,-104.92209349999999,39.713563,It's more important to grow your spirit than cut your dreamsRobert Kiyosaki #livepositive #embracelufe
1393308649351692290,tahlibsworld,Fri May 14 20:54:03 +0000 2021,-75.117998,40.0048655,When the smoke clears 💨 https://t.co/N4GfCx5Lwh
1393308650526154762,blakerobert20,Fri May 14 20:54:03 +0000 2021,-89.5694915,44.900818,"Thank you @MrJoeGillis , so far I’ve avoided wearing a “ cheesehead “ hat, still popular here.  ☮️"
1393308651213950976,mariaRo21136902,Fri May 14 20:54:03 +0000 2021,-75.3671965,40.6252755,No Lo puedo crer que la jente en 🇵🇷 quiera este tipajo son masoquistas se lo merecen yo hace 20años que no voy a la… https://t.co/DlhCuT5LkI
1393308651453141007,AegisImagery,Fri May 14 20:54:03 +0000 2021,-95.38966283,29.72194155,The Nervous System #travel #houston #hmns #bodyworlds #neuroanatomy @ Houston Museum of Natural Science https://t.co/lQRUWptz69
1393308651885051904,IzBridal,Fri May 14 20:54:03 +0000 2021,-118.2445,34.0564,"Just posted a photo @ Los Angeles, California https://t.co/WeT8zUHybk"
1393308651264352259,rljourno,Fri May 14 20:54:03 +0000 2021,-93.2620465,44.9706105,I have been waiting for the internet to make a “Man in the Iron Mask” meme  and the internet delivered https://t.co/wqIDb56Of4
1393308652094869505,triviatime5,Fri May 14 20:54:03 +0000 2021,-80.1377315,40.457401000000004,@hannahteter I see two beautiful images 💕
1393308653063741445,scottpiro,Fri May 14 20:54:03 +0000 2021,-73.95,40.65,Red in this young oak leaf yesterday. Is it the same principal as fall foliage — how lessening #chlorophyll allows… https://t.co/9ccIouPZXC
1393308653596422145,Lickmitweets_,Fri May 14 20:54:04 +0000 2021,-74.24545549999999,40.6242735,@LRDTrill Most likely
1393308653382422529,FishyMenz,Fri May 14 20:54:04 +0000 2021,-84.131209,34.205536,@_benziex https://t.co/nou4nxUtev
1393308652753375237,TenaciousTanaka,Fri May 14 20:54:03 +0000 2021,-73.9685415,40.780709,Happy Friday.Next week I will be in hell. I need to structure data from various files types into Salesforce. Fuck. https://t.co/NzN9uUxFJA
1393308654519074818,lblee58,Fri May 14 20:54:04 +0000 2021,-95.767395,29.532056,@G88Gassi Facts!!!!
1393308655366377475,F3rnMayo,Fri May 14 20:54:04 +0000 2021,-83.1738665,32.6782075,@devinhaunted No
1393308655735525378,wumbolivia,Fri May 14 20:54:04 +0000 2021,-108.717715,39.151296,when i tried to kill myself in high school and they went through my phone when i was inpatient 💖
1393308657279021056,JCRuizPhoto,Fri May 14 20:54:04 +0000 2021,-84.433106,33.7671945,@iamlarryfresh Gracias
1393308659128619008,cd129287,Fri May 14 20:54:05 +0000 2021,-80.0280425,40.5838765,"To all my friends that got the Neca cartoon diorama, I’m sorry you just received a brown box shipper. That sucks fo… https://t.co/Bwbs6KEb1N"
1393308659606769669,ThatShaneBua,Fri May 14 20:54:05 +0000 2021,-76.00044199999999,43.029430500000004,@MulyeDesigns It was a small package anyway. Nothing breakable.
1393308659774525444,DaKingSeanIII,Fri May 14 20:54:05 +0000 2021,-97.06684899999999,33.13993,@Shelbsss_____ Had to dip into my savings👀
1393308659720065025,PorterTFlinn,Fri May 14 20:54:05 +0000 2021,-76.62048200000001,39.284712999999996,💀💀💀
1393308659661295617,moonchaser7771,Fri May 14 20:54:05 +0000 2021,-110.9155735,32.1893905,Are you doing it? ;)🇺🇸😷😷🇺🇸 https://t.co/gPBi30nn0p
1393308659640381449,FredUlmer,Fri May 14 20:54:05 +0000 2021,-80.8293865,28.584726,@WesleyUhler Its becoming a ritual! Drink some beers its Friday. Isles suck its Friday! https://t.co/szWx2GIK8a
1393308660550356992,griffithxjonson,Fri May 14 20:54:05 +0000 2021,-104.92209349999999,39.713563,LISTEN TO THIS!
1393308660626042890,whoisgpatt,Fri May 14 20:54:05 +0000 2021,-95.508925,29.574284499999997,@zeechosen1 Sheesh I gotta see more
1393308661255180291,_underdog_sport,Fri May 14 20:54:05 +0000 2021,-81.25317899999999,41.726684,Is Frank Gore a hall of famer?
1393308661343215617,TheDre_Head,Fri May 14 20:54:05 +0000 2021,-80.2333285,25.7823535,The CDC said it’s ok to go and make-out with strangers in the clubs again. Have a happy weekend everyone!… https://t.co/qsvkseghPl
1393308661502545920,ElSamurap,Fri May 14 20:54:05 +0000 2021,-111.9632775,40.55948050000001,@jo58an @SoloMexicanos @qucho Me interesa una antología !
1393308661620039687,toPhatPussyKat,Fri May 14 20:54:06 +0000 2021,-77.16310250000001,39.08705500000001,@mr_nic3guy So fine😍
1393308662240669696,randy_fesser,Fri May 14 20:54:06 +0000 2021,-122.775062,45.311166,🤣
1393308662123450370,ACCass,Fri May 14 20:54:06 +0000 2021,-73.9685415,40.780709,"New Yorkers have a clear choice: Andrew Yang, a cash relief visionary, or Eric Adams, a gun-toting Republican celeb… https://t.co/r8ZDoMvd90"
1393308662609940481,anisa_landrum,Fri May 14 20:54:06 +0000 2021,-89.2665075,39.7393005,my roomie really the 🐐 GO AHEADDD @alyssaKbusker ‼️
1393308662622474244,CAgyemfra,Fri May 14 20:54:06 +0000 2021,-77.6273615,38.7922175,"Woman hoarding fuel catches fire after brief chase, car crash in SC, deputies say https://t.co/Ia3yltbtPK"
1393308663461388308,TheLadyPilar,Fri May 14 20:54:06 +0000 2021,-80.2333285,25.7823535,@covie_93 Keep wearing them
1393308663406731265,aspirevbaz,Fri May 14 20:54:06 +0000 2021,-105.5508905,38.997935999999996,"Aspire 14 UA, 13 UA and 14 Black all qualify for Day 2 of Colorado Crossroads!"
1393308663775911937,xBladeWolfx,Fri May 14 20:54:06 +0000 2021,-70.890708,42.519631,Having a proper pint :) https://t.co/KN98ruEmWQ
1393308664698527745,tmj_ia_mgmt,Fri May 14 20:54:06 +0000 2021,-93.6091064,41.6005448,"This job is now open at O'Reilly Automotive in #DesMoines, IA. Follow us and turn on mobile alerts to hear about jo… https://t.co/wIBUBqBEDK"
1393308664715427847,Kate_Brummel,Fri May 14 20:54:06 +0000 2021,-94.2791215,39.0148605,@angraor @SportingKC is offering a 30% discount at the in-stadium Sporting Style store to vaccinated fans at a match to be named in June.
1393308664895885318,TheCoolGrizzly,Fri May 14 20:54:06 +0000 2021,-73.723025,45.557830499999994,@Basedmix bruh this era 😭😭😭
1393308664992354305,ImRobKelly,Fri May 14 20:54:06 +0000 2021,-81.9968975,28.922832,@CompoundBoss ... 1000 lives this cat has! 😳
1393308665382383620,CSonafelt,Fri May 14 20:54:06 +0000 2021,-78.7330625,40.4779015,@cinderellaicius @SpeakerPelosi @TeamPelosi How was this woman ever elected to Congress? Oh that's right she was th… https://t.co/yQkjazlXrf
