username,user_url,title,view_num,created_at,video_url,shortdesc,collected_at
CityNews Toronto,/user/citynewstoronto,FULL EPISODE: ‘VeraCity: Unrepentant’ investigating abuse in the Canadian Catholic Church,2.4K,2.4K views,/watch?v=XYOWkiHmffI,'VeraCity: Unrepentant' is a Citytv original documentary uncovering the secret history of child sexual assaults that was kept silent ...,05:49.2
PBS NewsHour,/user/PBSNewsHour,"Abused nuns reveal stories of rape, forced abortions",2.7M,2.7M views,/watch?v=QJfAorE860M,Another scandal is engulfing the Catholic Church. At a time when the Vatican has taken its most concrete steps to address a long ...,05:49.2
NowThis World,/user/TestTubeNetwork,How Bad Is The Catholic Church’s Sex Abuse Problem?,155K,155K views,/watch?v=5JFSDnNRrXA,"California's severe drought has led to state-mandated restrictions on water, but how is the allocation of water determined in ""The ...",05:49.2
CNN,/user/CNN,Report details sexual abuse by more than 300 priests in Pennsylvania's Catholic Church,77K,77K views,/watch?v=_uI92oL06YY,A new grand jury report says that internal documents from six Catholic dioceses in Pennsylvania show that more than 300 ...,05:49.2
Matt Walsh,/user/TheMattWalshShow,The Inconvenient Truth About The Catholic Church Sex Scandal | The Matt Walsh Show Ep. 67,1.7K,1.7K views,/watch?v=C-pGmzpuk0s,The Catholic Church started admitting a significant percentage of gay priests in the 60s and 70s. It was right at this time that the ...,05:49.2
TODAY,/user/TODAYNBC,Boston Globe’s Michael Rezendes: Sexual Abuse In Catholic Church Can Happen Anywhere | TODAY,17K,17K views,/watch?v=go-R748Jqrk,Boston Globe investigative reporter Michael Rezendes and NBC's Anne Thompson join TODAY to discuss the bombshell ...,05:55.7
Real Stories,/channel/UCu4XcDBdnZkV6-5z2f16M0g,Ireland's Children of Shame (Church Scandal Documentary) | Real Stories,2.3M,2.3M views,/watch?v=kWBwjR6QPhI,"Tuam, a quiet town in the west of Ireland. Tuam, a name that traumatised the whole of Ireland in the spring of 2014, when an ...",05:55.7
ABC News,/user/ABCNews,Federal investigation opened into Catholic sex abuse scandal,7K,7K views,/watch?v=4BfHQXpqqDE,The U.S. Department of Justice has subpoenaed Catholic dioceses in Pennsylvania in its investigation of abuse by priests.,05:55.7
CBS News,/user/CBSNewsOnline,Catholic nuns accused of sexual misconduct,682K,682K views,/watch?v=-Xp9aEzhN3A,CBS News correspondent Nikki Battiste joined CBSN to discuss new sexual abuse allegations in the Catholic Church. At least 18 ...,05:55.7
C Thelight,/channel/UCUS8o9lqmEZ6lrj3hZwfzrA,"Father Vaughn Banal Sex Scandal with my mom, Rosemarie--Sacred Heart Catholic Church Altadena",121K,121K views,/watch?v=mcoCOh9lurU,"Dear brothers and sisters, It is difficult for me to share so much pain with you all, but I feel it is necessary before someone else gets ...",05:55.7
ABC News,/user/ABCNews,Victims speak out in US Catholic sexual abuse scandal,16K,16K views,/watch?v=yKyum099VWg,"A Pennsylvania grand jury released a bombshell report on 300 alleged predator priests, more than 1000 victims and 70 years of ...",05:55.7
